Fecha,Hora,ACO,AJM,AJU,ATI,AZC,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LAG,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SUR,TAC,TAH,TAX,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
21-09-2020,22,,,,13,,17,7,13,,7,,,,,6,,,,9,,,,,12,11,,2,4,,11,,3,,,,14,,,6,,,8,9,15,,
21-09-2020,23,,,,2,,9,2,3,,2,,,,,3,,,,12,,,,,0,2,,2,9,,4,,3,,,,11,,,1,,,4,4,8,,
21-09-2020,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-09-2020,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-09-2020,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-09-2020,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22-09-2020,4,,,,,,3,1,3,,4,,,,,,14,2,,18,,,,,0,1,20,14,5,,11,,8,,,,8,,,2,,,,5,,,
22-09-2020,5,,,,,,2,1,1,,1,,,,,,9,7,,15,,,,,0,2,21,1,2,,5,,5,,,,11,,,1,,,,7,,,
22-09-2020,6,,,,,,2,2,1,,0,,,,,,1,1,,11,,,,,0,1,21,1,1,,1,,0,,,,5,,,2,,,,2,,,
22-09-2020,7,,,,,,1,2,1,,1,,,,,,1,1,,12,,,,,0,1,22,1,1,,1,,0,,,,1,,,2,,,,1,,,
22-09-2020,8,,,,,,1,2,2,,1,,,,,,2,2,,9,,,,,0,3,21,2,2,,1,,4,,,,2,,,2,,,,2,,,
22-09-2020,9,,,,,,3,5,11,,10,,,,,,3,5,,16,,,,,1,10,19,5,8,,6,,14,,,,6,,,4,,,,5,,,
22-09-2020,10,,,,,,10,10,20,,26,,,,,,21,19,,27,,,,,6,19,27,16,16,,11,,25,,,,19,,,13,,,,16,,,
22-09-2020,11,,,,,,23,25,34,,35,,,,,,37,30,,33,,,,,22,29,42,38,27,,34,,39,,,,36,,,27,,,,30,,,
22-09-2020,12,,,,54,,46,50,58,,57,,,,,38,61,63,,43,,,,,45,53,61,65,48,,62,,55,,,,58,,,45,,,,56,,,
22-09-2020,13,,,,67,,72,63,83,,67,,,,,61,84,96,,55,,,,,76,78,83,91,73,,86,,77,,,,83,,,64,,,,81,,,
22-09-2020,14,,,,75,,92,85,104,,74,,,,,71,73,100,,65,,,,,101,88,97,95,94,,97,,86,,,,103,,,61,,,104,112,,,
22-09-2020,15,,,,64,,103,79,120,,69,,,,,71,72,88,,71,,,,,102,99,119,77,109,,89,,96,,,,122,,,62,,,127,94,,,
22-09-2020,16,,,,64,,103,67,124,,37,,,,,56,66,64,,85,,,,,76,95,121,68,119,,70,,101,,,,105,,,56,,,97,79,62,,
22-09-2020,17,,,,59,,61,58,87,,38,,,,,58,55,61,,64,,,,,59,66,77,66,92,,61,,80,,,,57,,,59,,,66,68,46,,
22-09-2020,18,,,,34,,47,40,56,,40,,,,,39,47,46,,41,,,,,41,52,55,47,58,,45,,64,,,,42,,,42,,,56,46,39,,
22-09-2020,19,,,,24,,38,26,43,,33,,,,,25,41,38,,38,,,,,28,40,43,32,48,,35,,48,,,,33,,,32,,,43,29,31,,
22-09-2020,20,,,,20,,27,27,31,,12,,,,,19,33,33,,35,,,,,22,33,29,8,33,,28,,35,,,,22,,,28,,,23,24,19,,
22-09-2020,21,,,,15,,20,20,15,,23,,,,,18,23,25,,27,,,,,22,25,41,27,26,,27,,33,,,,16,,,21,,,21,17,18,,
22-09-2020,22,,,,13,,18,18,28,,25,,,,,14,21,19,,22,,,,,15,16,34,24,26,,32,,29,,,,16,,,10,,,19,18,17,,
22-09-2020,23,,,,13,,12,7,20,,13,,,,,15,23,27,,18,,,,,8,14,32,22,13,,32,,17,,,,14,,,14,,,14,19,14,,
22-09-2020,24,,,,12,,8,5,10,,3,,,,,18,15,24,,14,,,,,18,16,32,17,10,,31,,11,,,,14,,,12,,,20,22,19,,
23-09-2020,1,,,,11,,8,9,13,,2,,,,,20,17,16,,15,,,,,13,13,30,26,12,,34,,18,,,,16,,,12,,,20,22,22,,
23-09-2020,2,,,,12,,11,10,15,,1,,,,,14,21,14,,13,,,,,6,18,32,20,15,,18,,16,,,,20,,,10,,,12,14,21,,
23-09-2020,3,,,,7,,12,9,13,,2,,,,,9,9,4,,16,,,,,8,9,19,18,10,,15,,8,,,,16,,,4,,,8,15,11,,
23-09-2020,4,,,,3,,10,4,11,,1,,,,,7,2,2,,16,,,,,4,5,20,17,9,,14,,3,,,,11,,,5,,,5,13,4,,
23-09-2020,5,,,,1,,5,1,6,,1,,,,,6,1,2,,15,,,,,2,2,23,7,8,,7,,5,,,,5,,,2,,,3,7,2,,
23-09-2020,6,,,,0,,1,1,1,,0,,,,,1,1,1,,15,,,,,0,2,23,3,9,,4,,5,,,,7,,,1,,,3,1,2,,
23-09-2020,7,,,,0,,1,2,1,,1,,,,,1,1,1,,18,,,,,0,2,21,2,5,,5,,2,,,,4,,,1,,,2,1,,,
23-09-2020,8,,,,1,,2,2,4,,2,,,,,2,3,3,,16,,,,,1,2,21,5,8,,2,,6,,,,4,,,3,,,4,3,6,,
23-09-2020,9,,,,8,,9,7,13,,12,,,,,7,10,9,,20,,,,,6,7,27,15,13,,7,,21,,,,18,,,7,,,10,10,19,,
23-09-2020,10,,,,25,,21,16,32,,28,,,,,14,24,,,31,,,,,16,20,40,,,,29,,29,,,,35,,,14,,,29,29,32,,
23-09-2020,11,,,,39,,45,28,50,,43,,,,,26,43,,,41,,,,,36,38,53,51,,,50,,46,,,,51,,,27,,,51,49,48,,
23-09-2020,12,,,,51,,62,45,73,,56,,,,,44,63,,,50,,,,,49,55,64,61,,,72,,62,,,,74,,,41,,,82,63,57,,
23-09-2020,13,,,,58,,71,72,87,,66,,,,,55,64,78,,60,,,,,77,64,76,74,68,,73,,75,,,,90,,,57,,,87,74,61,,
23-09-2020,14,,,,63,,94,86,102,,77,,,,,72,65,75,,71,,,,,101,80,105,69,84,,71,,77,,,,88,,,61,,,90,89,58,,
23-09-2020,15,,,,59,,106,68,119,,68,,,,,62,64,65,,64,,,,,88,97,89,69,111,,72,,86,,,,73,,,58,,,92,75,64,,
23-09-2020,16,,,,63,,63,48,81,,54,,,,,62,61,60,,53,,,,,61,59,62,54,91,,55,,68,,,,57,,,49,,,65,58,64,,
23-09-2020,17,,,,65,,45,48,61,,45,,,,,52,53,48,,45,,,,,50,56,68,48,59,,51,,44,,,,58,,,56,,,59,52,68,,
23-09-2020,18,,,,48,,48,55,53,,39,,,,,41,55,52,,52,,,,,51,57,57,57,53,,52,,53,,,,52,,,53,,,65,59,67,,
23-09-2020,19,,,,45,,44,52,39,,32,,,,,30,48,42,,41,,,,,45,56,48,43,36,,46,,59,,,,48,,,42,,,47,43,44,,
23-09-2020,20,,,,31,,45,46,23,,35,,,,,22,40,35,,34,,,,,38,52,42,39,21,,36,,59,,,,31,,,24,,,31,37,32,,
23-09-2020,21,,,,26,,43,29,25,,28,,,,,17,34,33,,33,,,,,34,47,40,36,21,,39,,64,,,,33,,,22,,,38,30,36,,
23-09-2020,22,,,,24,,28,32,30,,33,,,,,26,36,33,,29,,,,,30,22,41,36,27,,37,,39,,,,37,,,26,,,37,32,37,,
23-09-2020,23,,,,25,,28,36,36,,35,,,,,30,41,38,,22,,,,,36,34,39,38,33,,34,,29,,,,38,,,23,,,36,37,37,,
23-09-2020,24,,,,26,,25,24,34,,35,,,,,33,42,28,,25,,,,,35,35,36,42,34,,39,,22,,,,35,,,30,,,37,40,27,,
24-09-2020,1,,,,30,,27,32,29,,33,,,,12,26,21,14,,26,,,,,22,29,32,34,28,,36,,27,,,,30,,,32,,,38,33,24,,
24-09-2020,2,,,,27,,17,22,23,,23,,,,5,25,29,27,,21,,,,,25,22,28,28,26,,31,,23,,,,26,,,28,,,35,36,27,,
24-09-2020,3,,,,25,,15,21,17,,18,,,,8,20,25,29,,20,,,,,23,17,27,28,19,,24,,21,,,,22,,,21,,,27,28,26,,
24-09-2020,4,,,,22,,16,18,10,,13,,,,7,13,23,19,,19,,,,,19,10,27,25,12,,20,,15,,,,15,,,16,,,14,16,26,,
24-09-2020,5,,,,17,,11,12,9,,5,,,,3,10,25,18,,18,,,,,12,7,26,25,13,,18,,4,,,,19,,,1,,,14,17,5,,
24-09-2020,6,,,,4,,5,12,5,,1,,,,1,6,15,15,,15,,,,,2,6,22,18,11,,6,,4,,,,2,,,4,,,7,13,3,,
24-09-2020,7,,,,1,,1,5,2,,1,,,,1,3,4,8,,13,,,,,0,2,23,11,5,,4,,0,,,,2,,,2,,,4,4,4,,
24-09-2020,8,,,,2,,5,3,4,,1,,,,1,4,6,6,,12,,,,,2,5,17,17,3,,3,,1,,,,6,,,3,,,4,8,8,,
